Date,Year,Month,cashInReport,Card2,Card,DD,UE,GH,CN,DD2,UE2,GH2,CN2,DD Fees,UE Fees,GH Fees,Catering,otherCash,Foodja,Foodja2,Foodja Fees,Zelle,Ez Cater,Ez Cater2,EzCater Fees,Relish,Relish2,Relish Fees,waiter.com,CC Fees,createdAt,updatedAt,createdBy
3-Feb-24,2024,Feb,0,2474.11,2554.37,456,228.35,324.45,,,,,,456,228.35,324.45,,187,,,0,,,,0,,,0,,80.26,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Feb-24,2024,Feb,0,1617.46,1699.92,247.86,130.51,,,1465.49,,,,-1217.63,130.51,0,,185,,,0,,,,0,,,0,,82.46,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Feb-24,2024,Feb,,1162.75,1198.3,368.39,197.76,54.5,,,,,,368.39,197.76,54.5,,64,,,0,,,,0,,,0,,35.55,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Feb-24,2024,Feb,62.15,954.77,985.92,239.95,301.62,21.06,,,,,,239.95,301.62,21.06,500,44.85,204.82,,65.5424,,,,0,,,0,,31.15,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
7-Feb-24,2024,Feb,,1799.9,1855.95,403.79,198.92,153.5,,,,,,403.79,198.92,153.5,,119.76,,,0,,,,0,,,0,,56.05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Feb-24,2024,Feb,,1364.88,1406.63,88.38,242.16,9.89,,,,,,88.38,242.16,9.89,,21,,,0,,,,0,,,0,,41.75,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Feb-24,2024,Feb,,1906.92,1967.14,545.59,454.16,78.01,,,,,,545.59,454.16,78.01,300,248,186.86,,59.7952,,,,0,,,0,,60.22,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Feb-24,2024,Feb,,2230.95,2297,420.44,255.07,,,,,,,420.44,255.07,0,700,141,,,0,,,,0,,,0,,66.05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Feb-24,2024,Feb,,2014.69,2079.84,337.16,410.79,125.12,,1683.03,,,,-1345.87,410.79,125.12,1320,59,,,0,,,,0,,,0,,65.15,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
12-Feb-24,2024,Feb,22.6,1055.22,1088.57,169.68,120.32,87.87,,,,,,169.68,120.32,87.87,,57.4,,,0,,,,0,,,0,,33.35,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
13-Feb-24,2024,Feb,17.3,1149.07,1183.38,275.85,201.28,,,,,,,275.85,201.28,0,,56.7,298,,95.36,,,,0,,,0,,34.31,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
14-Feb-24,2024,Feb,,2068.48,2134.17,133,159.73,158.53,,,,,,133,159.73,158.53,,103,527.45,,168.784,,,,0,,,0,,65.69,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Feb-24,2024,Feb,,1434.13,1478.65,452.05,392.58,,,,,,,452.05,392.58,0,500,44,,,0,,,,0,,,0,,44.52,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
16-Feb-24,2024,Feb,4.3,1492.39,1541.98,245.81,310.55,38.4,,,,,,245.81,310.55,38.4,200,374,143.88,,46.0416,,,,0,,,0,,49.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Feb-24,2024,Feb,,2370.12,2449.05,506.27,327.85,120.86,,,,,,506.27,327.85,120.86,470,145.76,,,0,,,,0,,,0,,78.93,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Feb-24,2024,Feb,58.12,2439.55,2513.47,244.85,237.78,,,1416.76,,,,-1171.91,237.78,0,200,514,,,0,,,,0,,,0,,73.92,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Feb-24,2024,Feb,118,1120.33,1156.78,334.83,509.83,54.5,,,,,,334.83,509.83,54.5,,162,,,0,,,,0,,,0,,36.45,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Feb-24,2024,Feb,16.15,1049.47,1082.88,225.81,150.77,37.16,,,,,,225.81,150.77,37.16,,59,322.79,,103.2928,,,,0,,,0,,33.41,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Feb-24,2024,Feb,9,1062.89,1107.91,348.82,185.73,86.67,,,,,,348.82,185.73,86.67,,65,,,0,,,,0,,,0,,45.02,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Feb-24,2024,Feb,16,1340.13,1385.19,118.47,172.11,21.06,,,,,,118.47,172.11,21.06,,190,,,0,,,,0,,,0,,45.06,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
23-Feb-24,2024,Feb,2,3071.99,3168.34,601.51,625.74,179.54,,,,,,601.51,625.74,179.54,,266,214,,68.48,,,,0,,,0,,96.35,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Feb-24,2024,Feb,23,2813.08,2902.04,374.54,277.09,133.73,,,,,,374.54,277.09,133.73,347,125,,,0,,,,0,,,0,,88.96,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Feb-24,2024,Feb,85,2100.92,2170.57,128.79,257.57,23.53,,1586.95,,,,-1458.16,257.57,23.53,550,185,,,0,,,,0,,,0,,69.65,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Feb-24,2024,Feb,,1650.56,1705.13,309.15,315.23,19.81,,,,,,309.15,315.23,19.81,80,59,232.78,,74.4896,,,,0,,,0,,54.57,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
27-Feb-24,2024,Feb,38.76,675.74,697.8,127.99,30.13,53.23,,,,,,127.99,30.13,53.23,170,153,,,0,,,,0,,,0,,22.06,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Feb-24,2024,Feb,37.42,1610.63,1664,154.83,286.09,,,,,,,154.83,286.09,0,850,15,119.88,,38.3616,,,,0,,,0,,53.37,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Feb-24,2024,Feb,,1704.05,1759.43,418.57,362.78,,,,5180.71,1598.61,,418.57,-4817.93,-1598.61,300,120,46.97,2139.29,15.0304,,,,0,,,0,,55.38,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Mar-24,2024,Mar,43.05,2745.2,2836.15,351.66,422.5,48.29,,,,,,351.66,422.5,48.29,,307,,,0,,,,0,,,0,,90.95,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Mar-24,2024,Mar,20,2880.85,2970.12,569.34,147.85,52.91,,,,,,569.34,147.85,52.91,625,359,,,0,,,,0,,,0,,89.27,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Mar-24,2024,Mar,4.3,2644.44,2729.62,271.38,162.6,73.42,,1569.62,,,,-1298.24,162.6,73.42,1100,32,,,0,,,,0,,,0,,85.18,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Mar-24,2024,Mar,,1127.73,1164.08,276.44,181.87,,,,,,,276.44,181.87,0,,38,,,0,,,,0,,,0,,36.35,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
